Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC16NSNT_1001,12,NS-OP_13_1120,12,12,3,-6.06294175725947E+0000, 0.00000000000000E+0000,,NS-OP_13_0664,12,12,2, 2.90426501057110E+0000, 2.90426501057110E+0000,*,12,4, 3.31124529732193E+0000, 3.31124529732193E+0000,+,
OtsAC16NSNT_1001,12,NS_11_C_BD_NOR_F_0168,12,12,2,-1.13705253799379E+0000, 0.00000000000000E+0000,,NS-OP_13_1164,12,12,2, 1.11384075468502E+0000, 0.00000000000000E+0000,,12,5, 4.05123840476364E-0002, 0.00000000000000E+0000,,
OtsAC16NSNT_1002,12,NS_12_OP_HOR_F_0014,12,12,1, 7.98657891273554E+0000, 7.98657891273554E+0000,*,NS_11_C_BD_NOR_M_0655,7,7,3,-8.35385126887401E+0000, 0.00000000000000E+0000,,12,4, 9.61226514351954E-0002, 9.61226514351954E-0002,+,
OtsAC16NSNT_1003,12,
OtsAC16NSNT_1004,12,
OtsAC16NSNT_1005,12,NS-OP_13_1154,12,12,2, 3.51834088868028E+0000, 3.51834088868028E+0000,*,NS_Out_13_1673,12,12,4,-7.86185888807634E+0000, 0.00000000000000E+0000,,12,4, 1.76039366010388E+0000, 1.76039366010388E+0000,+,
OtsAC16NSNT_1005,12,NS-OP_13_1154,12,12,2, 3.51834088868028E+0000, 3.51834088868028E+0000,*,NS-OP_13_0936,12,12,2, 1.87853745852382E+0000, 1.87853745852382E+0000,*,12,5, 9.36482318176506E-0001, 0.00000000000000E+0000,,
OtsAC16NSNT_1005,12,NS-OP_13_0269,12,12,3,-4.33159693067694E+0000, 0.00000000000000E+0000,,NS_Out_13_1371,12,12,3,-3.85908711207274E+0000, 0.00000000000000E+0000,,12,4, 9.14565078203122E-0001, 0.00000000000000E+0000,,
OtsAC16NSNT_1005,12,NS-OP_13_0024,12,12,3,-6.04786605760284E+0000, 0.00000000000000E+0000,,NS-OP_13_0936,12,12,2, 1.87853745852382E+0000, 1.87853745852382E+0000,*,12,4, 8.99312281664272E-0001, 0.00000000000000E+0000,,
OtsAC16NSNT_1005,12,NS-OP_13_1154,12,12,2, 3.51834088868028E+0000, 3.51834088868028E+0000,*,NS_Out_13_0101,12,12,4,-8.29385224025263E+0000, 0.00000000000000E+0000,,12,5, 1.37898974513937E-0001, 0.00000000000000E+0000,,
