Offspring ID,Loci typed,Father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC17NSNT_2678,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0018,12,12,0, 1.68131111042374E+0001, 1.68131111042374E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0018,12,12,0, 1.65822233835277E+0001, 1.65822233835277E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0228,12,12,2, 5.50088068622931E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0162,12,12,2, 4.99279453131807E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_1061,12,12,0, 1.66381326104371E+0001, 1.66381326104371E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0547,12,12,3, 5.94229554271193E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2690,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0281,12,12,0, 1.36776064888387E+0001, 1.36776064888387E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2690,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0412,12,12,2, 3.90541305856034E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2690,12,,0,0,0, 0.00000000000000E+0000,NS_SS_14_0080,12,12,3, 1.15700296378800E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2694,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0014,12,12,0, 1.38394479413495E+0001, 1.38394479413495E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2695,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0112,12,12,0, 1.73839425433623E+0001, 1.73839425433623E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2696,12,,0,0,0, 0.00000000000000E+0000,
OtsAC17NSNT_2698,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0176,12,12,0, 1.59803297330405E+0001, 1.59803297330405E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2698,12,,0,0,0, 0.00000000000000E+0000,NS_Out_13_1370,7,7,1, 7.25753459865622E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2704,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0003,12,12,0, 1.64212915133724E+0001, 1.64212915133724E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2704,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0326,12,12,2, 4.49838512466908E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2706,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0507,12,12,0, 1.78050670216002E+0001, 1.78050670216002E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2706,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0716,12,12,1, 1.30249899878402E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2706,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1802,12,12,3, 1.54630175432596E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2710,12,,0,0,0, 0.00000000000000E+0000,
OtsAC17NSNT_2712,12,,0,0,0, 0.00000000000000E+0000,
OtsAC17NSNT_2714,12,,0,0,0, 0.00000000000000E+0000,
OtsAC17NSNT_2718,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_1081,12,12,0, 1.90681675558514E+0001, 1.90681675558514E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2718,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1764,12,12,3, 9.95397908771419E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2718,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1849,12,12,3, 8.39051324122213E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2719,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0076,12,12,3, 2.40359558264274E+0000, 2.40359558264274E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2722,12,,0,0,0, 0.00000000000000E+0000,NS_Out_13_1218,12,12,1, 8.39217752837817E+0000, 8.39217752837817E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2722,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0261,12,12,2, 4.78324145724546E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2722,12,,0,0,0, 0.00000000000000E+0000,NS_Out_13_1335,12,12,2, 3.24466284060311E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2722,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0417,12,12,3, 1.48407698448224E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2724,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0614,12,12,0, 1.71098818395713E+0001, 1.71098818395713E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2724,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0224,12,12,2, 2.72979380517328E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2724,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0601,12,12,2, 2.65517314374041E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2724,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0798,12,12,2, 8.30873471691604E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2726,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0095,12,12,0, 1.82283052722996E+0001, 1.82283052722996E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2727,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0015,12,12,2, 4.10750134033009E+0000, 4.10750134033009E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2729,12,,0,0,0, 0.00000000000000E+0000,
OtsAC17NSNT_2731,12,,0,0,0, 0.00000000000000E+0000,
OtsAC17NSNT_2734,12,,0,0,0, 0.00000000000000E+0000,NS_Out_13_1250,12,12,2, 2.60833887775653E+0000, 2.60833887775653E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2734,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0016,12,12,2, 2.46062072590558E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2734,12,,0,0,0, 0.00000000000000E+0000,NS_SS_13_0156,12,12,2, 1.49087494814750E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2734,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0172,12,12,2, 9.40559777604001E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
