Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC17NSNT_2678,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0071,12,12,0, 1.48616969260145E+0001, 1.48616969260145E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2678,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0089,12,12,2, 4.94885248316496E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0246,12,12,0, 1.59064473611897E+0001, 1.59064473611897E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0936,12,12,0, 2.04627604467121E+0001, 2.04627604467121E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1410,12,12,1, 1.56402696847530E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1024,12,12,2, 3.80082772059937E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1392,12,12,3, 1.23165500214125E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2690,12,,0,0,0, 0.00000000000000E+0000,NS-OP_13_0438,12,12,0, 1.63840429112207E+0001, 1.63840429112207E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2694,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0023,12,12,0, 1.94351609277432E+0001, 1.94351609277432E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2695,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0192,12,12,0, 1.86826252761203E+0001, 1.86826252761203E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2695,12,,0,0,0, 0.00000000000000E+0000,NS-OP_12_0126,12,12,2, 5.66896187712666E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2696,12,,0,0,0, 0.00000000000000E+0000,
