Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC17NSNT_2678,12,NS-OP_12_0018,12,12,0, 1.68131111042374E+0001, 1.68131111042374E+0001,*,NS-OP_12_0071,12,12,0, 1.48616969260145E+0001, 1.48616969260145E+0001,*,12,0, 3.99981118196091E+0001, 3.99981118196091E+0001,*,
OtsAC17NSNT_2678,12,NS-OP_12_0107,12,12,3,-4.58879548822875E-0001, 0.00000000000000E+0000,,NS-OP_12_0071,12,12,0, 1.48616969260145E+0001, 1.48616969260145E+0001,*,12,3, 1.96636469681364E+0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2678,12,NS-OP_12_0043,12,12,4,-4.42665646861867E+0000, 0.00000000000000E+0000,,NS-OP_12_0071,12,12,0, 1.48616969260145E+0001, 1.48616969260145E+0001,*,12,4, 1.40973546482437E+0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2678,12,NS-OP_12_0018,12,12,0, 1.68131111042374E+0001, 1.68131111042374E+0001,*,NS-OP_13_0765,12,12,3,-2.64018401502886E+0000, 0.00000000000000E+0000,,12,5, 7.55435162786100E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2678,12,NS-OP_12_0018,12,12,0, 1.68131111042374E+0001, 1.68131111042374E+0001,*,NS-OP_13_0171,12,12,4,-7.37017163482588E+0000, 0.00000000000000E+0000,,12,6, 2.50968470760651E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2678,12,NS-OP_13_0634,7,7,3,-1.09997542001855E+0001, 0.00000000000000E+0000,,NS-OP_12_0071,12,12,0, 1.48616969260145E+0001, 1.48616969260145E+0001,*,12,4, 7.17080475569331E-0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2678,12,NS-OP_12_0018,12,12,0, 1.68131111042374E+0001, 1.68131111042374E+0001,*,NS-OP_12_0195,12,12,4,-1.04298530168557E+0001, 0.00000000000000E+0000,,12,6, 1.09928830462670E-0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,NS-OP_13_0018,12,12,0, 1.65822233835277E+0001, 1.65822233835277E+0001,*,NS-OP_13_0246,12,12,0, 1.59064473611897E+0001, 1.59064473611897E+0001,*,12,0, 3.94132129376416E+0001, 3.94132129376416E+0001,*,
OtsAC17NSNT_2681,12,NS-OP_13_0162,12,12,2, 4.99279453131807E+0000, 0.00000000000000E+0000,,NS-OP_13_0246,12,12,0, 1.59064473611897E+0001, 1.59064473611897E+0001,*,12,4, 1.35523234766089E+0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,NS-OP_13_0018,12,12,0, 1.65822233835277E+0001, 1.65822233835277E+0001,*,NS-OP_13_0948,12,12,5,-1.20813581484240E+0001, 0.00000000000000E+0000,,12,5, 6.01125849049332E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,NS-OP_13_0018,12,12,0, 1.65822233835277E+0001, 1.65822233835277E+0001,*,NS_OP_14_0727,12,12,3,-2.81897428222208E+0000, 0.00000000000000E+0000,,12,6, 2.75090849205869E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,NS-OP_13_0018,12,12,0, 1.65822233835277E+0001, 1.65822233835277E+0001,*,NS-OP_13_0597,7,7,4,-1.39347167341889E+0001, 0.00000000000000E+0000,,12,4, 1.39516382775455E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,NS-OP_13_1154,12,12,3,-4.43739101127955E+0000, 0.00000000000000E+0000,,NS-OP_13_0246,12,12,0, 1.59064473611897E+0001, 1.59064473611897E+0001,*,12,6, 1.03540070797880E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2681,12,NS-OP_13_0227,12,12,5,-1.04335506008365E+0001, 0.00000000000000E+0000,,NS-OP_13_0246,12,12,0, 1.59064473611897E+0001, 1.59064473611897E+0001,*,12,6, 6.86651308977881E-0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,NS-OP_13_1061,12,12,0, 1.66381326104371E+0001, 1.66381326104371E+0001,*,NS-OP_13_0936,12,12,0, 2.04627604467121E+0001, 2.04627604467121E+0001,*,12,0, 4.38375015185603E+0001, 4.38375015185603E+0001,*,
OtsAC17NSNT_2685,12,NS-OP_13_1061,12,12,0, 1.66381326104371E+0001, 1.66381326104371E+0001,*,OtsAC14NSNT_1410,12,12,1, 1.56402696847530E+0001, 0.00000000000000E+0000,,12,1, 3.68698822890994E+0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,NS-OP_13_0084,12,12,4,-8.84865317582813E+0000, 0.00000000000000E+0000,,NS-OP_13_0936,12,12,0, 2.04627604467121E+0001, 2.04627604467121E+0001,*,12,4, 1.47143883835055E+0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,OtsAC14NSNT_1572,12,12,4,-7.28485539167335E+0000, 0.00000000000000E+0000,,NS-OP_13_0936,12,12,0, 2.04627604467121E+0001, 2.04627604467121E+0001,*,12,5, 1.06308001110782E+0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,NS_Out_13_1370,7,7,3,-9.76683741920055E+0000, 0.00000000000000E+0000,,NS-OP_13_0936,12,12,0, 2.04627604467121E+0001, 2.04627604467121E+0001,*,12,3, 1.03588382760208E+0001, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,NS-OP_13_0486,12,12,5,-1.27224436450771E+0001, 0.00000000000000E+0000,,NS-OP_13_0936,12,12,0, 2.04627604467121E+0001, 2.04627604467121E+0001,*,12,5, 8.39583202306005E+0000, 0.00000000000000E+0000,,
OtsAC17NSNT_2685,12,NS-OP_12_0174,12,12,5,-1.19496411797604E+0001, 0.00000000000000E+0000,,NS-OP_13_0936,12,12,0, 2.04627604467121E+0001, 2.04627604467121E+0001,*,12,6, 6.92355535235457E+0000, 0.00000000000000E+0000,,
