Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_1103,12,12,0, 1.27159627103352E+0001, 1.27159627103352E+0001,*,12,0, 4.33965129007971E+0001, 4.33965129007971E+0001,*,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0407,12,12,3,-2.85370501526359E+0000, 0.00000000000000E+0000,,12,3, 2.51377722007145E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0865,12,12,3,-2.77179426304510E+0000, 0.00000000000000E+0000,,12,3, 2.49553148464852E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0088,12,12,3,-5.78889092300794E+0000, 0.00000000000000E+0000,,12,3, 2.17773549390485E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0736,12,12,3,-5.71175737985892E+0000, 0.00000000000000E+0000,,12,3, 2.11106701179871E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_0138,12,12,2, 6.97538855635451E+0000, 0.00000000000000E+0000,,NS-OP_13_1103,12,12,0, 1.27159627103352E+0001, 1.27159627103352E+0001,*,12,3, 1.86635234822352E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS_OP_14_0029,12,12,4,-1.02168353843235E+0001, 0.00000000000000E+0000,,12,4, 1.69938086524650E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS_OP_14_0445,12,12,4,-9.93444851993859E+0000, 0.00000000000000E+0000,,12,4, 1.69876709047906E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0367,12,12,4,-1.00844238926392E+0001, 0.00000000000000E+0000,,12,4, 1.67846277064806E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0670,12,12,3,-4.23847066665423E+0000, 0.00000000000000E+0000,,12,4, 1.62419748209551E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,OtsAC14NSNT_1654,11,11,4,-9.88332706389148E+0000, 0.00000000000000E+0000,,12,4, 1.55492676688122E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS_OP_14_0031,12,12,4,-1.08506732692907E+0001, 0.00000000000000E+0000,,12,4, 1.53690860516060E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,OtsAC14NSNT_1595,12,12,4,-1.11009105714753E+0001, 0.00000000000000E+0000,,12,4, 1.50647808311185E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0597,7,7,3,-9.34879892016221E+0000, 0.00000000000000E+0000,,12,3, 1.46471780600020E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0936,12,12,4,-1.11390502445308E+0001, 0.00000000000000E+0000,,12,4, 1.45730605481903E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,OtsAC15NSNT_1685,12,12,4,-1.19543692202374E+0001, 0.00000000000000E+0000,,12,4, 1.42459177414312E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0491,12,12,5,-1.08305214569186E+0001, 0.00000000000000E+0000,,12,5, 1.32437242284391E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS-OP_13_0414,12,12,5,-1.34853511387340E+0001, 0.00000000000000E+0000,,12,5, 1.23901159743121E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,NS_Out_13_1556,12,12,5,-1.18681895283517E+0001, 0.00000000000000E+0000,,12,5, 1.23630941093342E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42580581729888E+0001, 2.42580581729888E+0001,*,OtsAC15NSNT_1423,12,12,4,-6.20978766817506E+0000, 0.00000000000000E+0000,,12,5, 1.23352560562254E+0001, 0.00000000000000E+0000,,
