Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS-OP_13_1103,12,12,0, 1.27083294419626E+0001, 1.27083294419626E+0001,*,12,0, 4.33781488058950E+0001, 4.33781488058950E+0001,*,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS-OP_13_0407,12,12,3,-2.86059554066479E+0000, 0.00000000000000E+0000,,12,3, 2.51207015066019E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS-OP_13_0865,12,12,3,-2.78479325978193E+0000, 0.00000000000000E+0000,,12,3, 2.49313521211022E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS-OP_13_0088,12,12,3,-5.79140581658865E+0000, 0.00000000000000E+0000,,12,3, 2.17619319672152E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS-OP_13_0736,12,12,3,-5.72330461161255E+0000, 0.00000000000000E+0000,,12,3, 2.10885829944179E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_0138,12,12,2, 6.96195183897458E+0000, 0.00000000000000E+0000,,NS-OP_13_1103,12,12,0, 1.27083294419626E+0001, 1.27083294419626E+0001,*,12,3, 1.86475357049025E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS_OP_14_0029,12,12,4,-1.02213852898758E+0001, 0.00000000000000E+0000,,12,4, 1.69760683933157E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS_OP_14_0445,12,12,4,-9.93990654106736E+0000, 0.00000000000000E+0000,,12,4, 1.69699286316508E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS-OP_13_0367,12,12,4,-1.00879717757942E+0001, 0.00000000000000E+0000,,12,4, 1.67686204992265E+0001, 0.00000000000000E+0000,,
OtsAC18NSNT_0009,12,NS-OP_13_1049,12,12,0, 2.42456575877792E+0001, 2.42456575877792E+0001,*,NS-OP_13_0670,12,12,3,-4.23832611718396E+0000, 0.00000000000000E+0000,,12,4, 1.62301166739739E+0001, 0.00000000000000E+0000,,
