Offspring ID,Loci typed,Father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC19NSNT_0003,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1930,12,12,2, 6.96610958835867E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1533,12,12,3, 1.18207934798238E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_112,12,12,3, 8.71370107565133E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1729,12,12,2, 1.36033843843984E+0000, 1.36033843843984E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2896,12,12,3, 2.80823594898429E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0005,12,,0,0,0, 0.00000000000000E+0000,
OtsAC19NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1117,9,9,1, 1.08512787003268E+0001, 1.08512787003268E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1189,12,12,0, 1.22678837225238E+0001, 1.22678837225238E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1955,12,12,0, 1.03797100362196E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1296,12,12,1, 4.19966145733913E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1442,12,12,2, 4.14867945474494E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_357,12,12,2, 1.13640514501826E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2159,12,12,2, 9.67487979696568E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1203,12,12,0, 1.80265874151253E+0001, 1.80265874151253E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1344,12,12,1, 1.00558095500319E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1012,12,12,3, 8.59194039379914E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1003,12,12,3, 2.09572664775736E-0002, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0013,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_267,12,12,0, 1.93287821314594E+0001, 1.93287821314594E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0013,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_BD_050,12,12,2, 7.54709168498291E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0013,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0456,12,12,2, 7.58825712005029E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1203,12,12,0, 1.59839564950444E+0001, 1.59839564950444E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2846,12,12,2, 8.07185464219397E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1760,12,12,3, 2.19413917652266E-0002, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,NS_15_OP_BD_133,12,11,0, 1.01556882412359E+0001, 1.01556882412359E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1502,12,11,2, 5.01689650559706E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2655,12,11,2, 3.44917823556669E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1785,12,11,2, 1.96983128122977E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2786,12,11,2, 1.61509587691684E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2499,12,11,2, 1.45416521647415E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0197,12,11,2, 1.30464069211622E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1653,12,11,2, 1.03589492520488E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1570,12,11,2, 6.64598452885658E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1841,12,11,2, 5.73249035934538E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1419,12,11,2, 2.70016878374759E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2456,12,11,2, 1.83758909319746E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0017,11,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1750,12,11,2, 1.31785411795184E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0018,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1220,12,12,3, 7.78248076590842E+0000, 7.78248076590842E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0019,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1938,12,12,0, 1.82685949546985E+0001, 1.82685949546985E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0019,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1918,12,12,2, 3.13765081289825E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0020,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1314,12,12,0, 1.65506903869025E+0001, 1.65506903869025E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0020,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1327,12,12,2, 2.84445745385552E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0021,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2425,12,12,3, 2.93583038134323E-0001, 2.93583038134323E-0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0022,12,,0,0,0, 0.00000000000000E+0000,NS_15_C_AD_003,12,12,0, 2.10200622558085E+0001, 2.10200622558085E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0022,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1345,12,12,3, 4.62414705346107E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0022,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1506,12,12,3, 3.30424386994356E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0022,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1931,12,12,3, 1.87154165257298E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0026,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1103,9,9,1, 1.79184659375193E+0000, 1.79184659375193E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0028,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_249,12,12,0, 1.63964506144205E+0001, 1.63964506144205E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0029,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1845,12,12,0, 1.60789945711274E+0001, 1.60789945711274E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0029,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1449,12,12,2, 5.43348851162469E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0029,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1072,10,10,2, 3.88244428675625E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0029,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_BD_026,12,12,2, 1.61260497210252E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0029,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_BD_028,12,12,2, 1.01082862359846E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0030,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_BD_027,12,12,2, 2.95922059688491E+0000, 2.95922059688491E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0035,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1210,12,12,0, 1.95993771280794E+0001, 1.95993771280794E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0035,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1862,12,12,2, 5.64047546325000E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0035,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1862,12,12,2, 5.53958620465475E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0035,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1671,11,11,3, 4.54540019058964E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0040,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1621,12,12,0, 1.95136786708355E+0001, 1.95136786708355E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0042,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_BD_654,12,12,0, 2.03655130318509E+0001, 2.03655130318509E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0043,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1220,12,12,3, 3.39246196528164E+0000, 3.39246196528164E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0044,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1974,12,12,0, 1.68724527122694E+0001, 1.68724527122694E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0044,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2222,12,12,2, 4.13378783281066E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0044,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1076,12,12,2, 3.54896774189097E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0045,12,,0,0,0, 0.00000000000000E+0000,
OtsAC19NSNT_0046,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1737,12,12,0, 1.48175964467365E+0001, 1.48175964467365E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0046,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2783,12,12,2, 4.02077481531157E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0046,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1753,12,12,2, 2.27517092926184E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0048,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1660,12,12,0, 1.60448131781691E+0001, 1.60448131781691E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0048,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1360,12,12,1, 1.11480765681316E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0048,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1086,12,12,2, 4.56126552437186E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0048,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1154,12,12,2, 4.33837790070785E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0048,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1838,12,12,3, 2.12463406287931E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
