Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,0, 3.80331565667827E+0001, 3.80331565667827E+0001,*,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1533,12,12,3, 1.18207934798238E+0000, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,4, 1.22846480370872E+0001, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC16NSNT_1112,11,11,4,-9.63315144994744E+0000, 0.00000000000000E+0000,,12,4, 1.01946557508707E+0001, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,NS_15_OP_AD_614,12,12,5,-1.17054806048621E+0001, 0.00000000000000E+0000,,12,5, 7.31586376866246E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC15NSNT_1364,12,12,4,-9.04039824594015E+0000, 0.00000000000000E+0000,,12,5, 5.82812521898598E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC16NSNT_1311,11,11,3,-6.26949818288576E+0000, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,4, 5.52050160608788E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsCC16NSNT_2091,9,9,4,-1.19622972170649E+0001, 0.00000000000000E+0000,,12,4, 5.01097570126572E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC14NSNT_1252,12,12,4,-8.70389727103664E+0000, 0.00000000000000E+0000,,12,5, 4.77901013282848E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,NS_15_OP_AD_469,12,12,5,-1.29286388606997E+0001, 0.00000000000000E+0000,,12,5, 4.33209457106543E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC15NSNT_1014,12,12,4,-9.26541266294719E+0000, 0.00000000000000E+0000,,12,5, 4.16668582141312E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC16NSNT_1103,9,9,3,-6.91191387098265E+0000, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,4, 3.97522951186865E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC16NSNT_2533,12,12,3,-2.43578179098516E+0000, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,5, 3.76129171533051E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC14NSNT_1868,12,12,5,-1.34672345435607E+0001, 0.00000000000000E+0000,,12,5, 3.51072985064922E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,NS_15_OP_AD_361,12,12,5,-1.35377074745703E+0001, 0.00000000000000E+0000,,12,5, 3.41793573245843E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsCC16NSNT_2086,7,7,4,-1.42985926437597E+0001, 0.00000000000000E+0000,,12,4, 2.78172485843818E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC16NSNT_2805,12,12,5,-1.23800867942882E+0001, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,5, 2.68219735027987E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC16NSNT_2012,12,12,5,-1.49542021176265E+0001, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,5, 2.59703335667607E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,NS_OP_14_0040,12,12,5,-1.45811599765717E+0001, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,5, 2.30020203476334E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC16NSNT_2243,12,12,5,-1.44041792781565E+0001, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,5, 2.29910653382008E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC14NSNT_1498,12,12,6,-1.65636341026554E+0001, 0.00000000000000E+0000,,12,6, 9.59474932905444E-0001, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,NS_OP_14_0543,12,12,5,-1.18873917210818E+0001, 0.00000000000000E+0000,,12,6, 4.73812081098997E-0001, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC14NSNT_1731,12,12,6,-1.68844769789805E+0001, 0.00000000000000E+0000,,12,6, 1.67697276511548E-0001, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC15NSNT_1678,12,12,0, 1.81852694882935E+0001, 1.81852694882935E+0001,*,OtsAC15NSNT_1849,12,12,4,-8.20661334139210E+0000, 0.00000000000000E+0000,,12,6, 4.56388194147708E-0002, 0.00000000000000E+0000,,
OtsAC19NSNT_0003,12,OtsAC16NSNT_1459,12,12,5,-1.26986140777179E+0001, 0.00000000000000E+0000,,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,12,6, 1.59140081758509E-0002, 0.00000000000000E+0000,,
