Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
AC20NSNT_0001,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1257,12,12,0, 1.83068678020595E+0001, 1.83068678020595E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0001,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1690,12,12,2, 7.37550008424439E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0001,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1825,12,12,3, 1.64059698161395E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0002,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_287,12,12,0, 2.07999811911733E+0001, 2.07999811911733E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0002,12,,0,0,0, 0.00000000000000E+0000,NS_15_C_BD_054,12,12,2, 2.09975184291846E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0003,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1117,12,12,0, 1.97684218347623E+0001, 1.97684218347623E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0003,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2594,12,12,1, 1.19873371179049E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,NS_15_C_AD_036,12,12,0, 1.80826881353941E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_121,12,12,0, 1.80826881353941E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1070,12,12,2, 3.40699386248921E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2900,12,12,0, 1.31708853438073E+0001, 1.31708853438073E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2871,12,12,0, 1.28746534892992E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1877,12,12,1, 9.03319374702903E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1748,12,12,1, 8.45146438375880E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1350,12,12,1, 8.30078651171211E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1218,12,12,2, 3.96049991063983E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1428,12,12,2, 2.12456684281036E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2651,12,12,2, 1.93816444116062E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2055,12,12,2, 1.07890740033295E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1318,12,12,2, 4.99517941785835E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2583,12,12,0, 1.95594970082245E+0001, 1.95594970082245E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2231,12,12,1, 1.16751721372949E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_244,12,12,2, 8.36916206906454E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1301,12,12,2, 8.22268464899043E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_164,12,12,2, 6.43230018075444E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1021,12,12,3, 2.15548273614356E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1691,12,12,3, 2.09360495119215E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_2019,12,12,3, 1.33296727915194E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0007,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1291,12,12,3, 7.95373773485515E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0008,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1318,12,12,1, 5.92654154248042E+0000, 5.92654154248042E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0008,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_501,12,12,2, 4.70008741241273E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0008,12,,0,0,0, 0.00000000000000E+0000,OtsAC17NSNT_2175,12,12,2, 2.12167711968614E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0009,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1896,12,12,1, 1.55293209615268E+0001, 1.55293209615268E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0009,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2202,12,12,2, 1.01239135537271E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0009,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1581,12,12,2, 9.68486597962183E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0009,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1359,12,12,2, 7.94229024713792E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1272,12,12,0, 1.72531729271636E+0001, 1.72531729271636E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1114,12,12,3, 4.47782554125723E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0011,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1537,12,12,0, 1.52634980182695E+0001, 1.52634980182695E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0011,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1250,12,12,1, 1.10794378970156E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0011,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1186,12,12,3, 1.31021196297206E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1212,12,12,1, 9.72823970244193E+0000, 9.72823970244193E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC17NSNT_1789,12,12,2, 2.53281063332155E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1181,12,12,2, 1.84959185417340E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0013,12,,0,0,0, 0.00000000000000E+0000,
AC20NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1973,12,12,0, 1.16578547261774E+0001, 1.16578547261774E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1604,12,12,2, 2.82753356694043E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_2020,12,12,2, 2.80796304391212E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_359,12,12,2, 2.46985525191501E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_612,12,12,2, 1.58488924292631E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0015,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1049,12,12,0, 1.71973734243982E+0001, 1.71973734243982E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0015,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1104,12,12,1, 9.15150096330015E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0015,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2864,12,12,3, 7.37087355638541E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0015,12,,0,0,0, 0.00000000000000E+0000,OtsAC17NSNT_2988,12,12,3, 2.92511957634919E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0016,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1951,12,12,0, 1.87436817190655E+0001, 1.87436817190655E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0016,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1212,12,12,0, 1.67153487031310E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0016,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1806,12,12,2, 7.84305099189263E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0017,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2581,12,12,0, 1.95246888001613E+0001, 1.95246888001613E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0017,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1021,12,12,2, 3.99778013490038E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0017,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1089,12,12,3, 2.45516462687468E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0018,12,,0,0,0, 0.00000000000000E+0000,
AC20NSNT_0019,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1819,12,12,1, 9.35116789374609E+0000, 9.35116789374609E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0020,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_496,12,12,0, 1.75186260369314E+0001, 1.75186260369314E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0020,12,,0,0,0, 0.00000000000000E+0000,OtsAC17NSNT_2420,12,12,2, 2.43320628044239E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0020,12,,0,0,0, 0.00000000000000E+0000,AC17NSNT_1255,12,12,2, 1.36710111316239E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0021,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2074,12,12,0, 1.45896234750776E+0001, 1.45896234750776E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0021,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1904,12,12,2, 2.35920380330173E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
AC20NSNT_0022,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1864,12,12,0, 1.52151803767234E+0001, 1.52151803767234E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
