offspring_sample_id	bohn_mom	bohn_dad	bohn_comments	difference_explain_dayan	final_mother	final_father	colony_mother	colony_father	cervus_mother	cervus_father	colony_trio_mm	colony_father_mm	colony_mother_mm	cervus_mother_mm	cervus_father_mm	cervus_trio_mm	colony_trio	cervus_trio
OtsAC18NSNT_0001	none	none	two perfect matches	Sandra tossed ties	NS_15_OP_AD_506	none	NS_15_OP_AD_506	none	NS_15_OP_AD_506	none	NA	NA	0	0	NA	NA	0	0
OtsAC18NSNT_0002	NS_15_OP_BD_079	NS_15_OP_BD_063	NA		NS_15_OP_BD_079	NS_15_OP_BD_063	NS_15_OP_BD_079	NS_15_OP_BD_063	NS_15_OP_BD_079	NS_15_OP_BD_063	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0003	none	NS_OP_14_0063	NA		none	NS_OP_14_0063	none	NS_OP_14_0063	none	NS_OP_14_0063	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0004	OtsAC14NSNT_1606	OtsAC14NSNT_1591	NA		OtsAC14NSNT_1606	OtsAC14NSNT_1591	OtsAC14NSNT_1606	OtsAC14NSNT_1591	OtsAC14NSNT_1606	OtsAC14NSNT_1591	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0005	NS-OP_13_0205	NS-OP_13_0399	NA		NS-OP_13_0205	NS-OP_13_0399	NS-OP_13_0205	NS-OP_13_0399	NS-OP_13_0205	NS-OP_13_0399	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0006	NS-OP_13_0247	NS-OP_13_0462	NA		NS-OP_13_0247	NS-OP_13_0462	NS-OP_13_0247	NS-OP_13_0462	NS-OP_13_0247	NS-OP_13_0462	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0007	none	NS_Out_13_1604	NA		none	NS_Out_13_1604	none	NS_Out_13_1604	none	NS_Out_13_1604	NA	0	NA	NA	0	NA	0	0
OtsAC18NSNT_0008	none	none	NA		none	none	none	none	none	none	NA	NA	NA	NA	NA	NA	0	0
OtsAC18NSNT_0009	NS-OP_13_1049	NS-OP_13_1103	NA		NS-OP_13_1049	NS-OP_13_1103	NS-OP_13_1049	NS-OP_13_1103	NS-OP_13_1049	NS-OP_13_1103	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0010	NS-OP_13_0209	NS-OP_13_0460	NA		NS-OP_13_0209	NS-OP_13_0460	NS-OP_13_0209	NS-OP_13_0460	NS-OP_13_0209	NS-OP_13_0460	0	NA	NA	0	0	0	1	1
OtsAC18NSNT_0011	NS-OP_13_0244	NS-OP_13_0208	NA		NS-OP_13_0244	NS-OP_13_0208	NS-OP_13_0244	NS-OP_13_0208	NS-OP_13_0244	NS-OP_13_0208	0	NA	NA	0	0	0	1	1
