date	sample_id
7/21/11	NS-OP_11_0004
7/21/11	NS-OP_11_0008
7/21/11	NS-OP_11_0014
7/21/11	NS-OP_11_0015
7/21/11	NS-OP_11_0016
7/21/11	NS-OP_11_0018
7/21/11	NS-OP_11_0020
7/28/11	NS-OP_11_0024
7/28/11	NS-OP_11_0025
7/28/11	NS-OP_11_0026
7/28/11	NS-OP_11_0027
7/28/11	NS-OP_11_0034
7/28/11	NS-OP_11_0035
7/28/11	NS-OP_11_0036
7/28/11	NS-OP_11_0038
7/28/11	NS-OP_11_0039
7/28/11	NS-OP_11_0041
7/28/11	NS-OP_11_0042
7/28/11	NS-OP_11_0043
7/28/11	NS-OP_11_0045
7/28/11	NS-OP_11_0047
7/28/11	NS-OP_11_0048
7/28/11	NS-OP_11_0050
7/28/11	NS-OP_11_0051
7/28/11	NS-OP_11_0057
7/28/11	NS-OP_11_0058
7/28/11	NS-OP_11_0060
7/28/11	NS-OP_11_0063
7/28/11	NS-OP_11_0064
7/28/11	NS-OP_11_0065
7/28/11	NS-OP_11_0066
7/28/11	NS-OP_11_0074
7/28/11	NS-OP_11_0075
7/28/11	NS-OP_11_0076
7/28/11	NS-OP_11_0077
7/28/11	NS-OP_11_0078
7/28/11	NS-OP_11_0081
7/28/11	NS-OP_11_0082
7/28/11	NS-OP_11_0087
7/28/11	NS-OP_11_0088
7/28/11	NS-OP_11_0090
7/28/11	NS-OP_11_0093
7/28/11	NS-OP_11_0096
7/28/11	NS-OP_11_0097
7/28/11	NS-OP_11_0098
7/28/11	NS-OP_11_0099
7/28/11	NS-OP_11_0100
7/28/11	NS-OP_11_0106
7/28/11	NS-OP_11_0107
7/28/11	NS-OP_11_0108
7/28/11	NS-OP_11_0112
7/28/11	NS-OP_11_0114
7/28/11	NS-OP_11_0115
8/10/11	NS-OP_11_0117
8/10/11	NS-OP_11_0119
8/10/11	NS-OP_11_0121
8/10/11	NS-OP_11_0124
8/10/11	NS-OP_11_0125
8/10/11	NS-OP_11_0126
8/10/11	NS-OP_11_0128
