date	sample_id
2011-07-21	NS-OP_11_0004
2011-07-21	NS-OP_11_0008
2011-07-21	NS-OP_11_0014
2011-07-21	NS-OP_11_0015
2011-07-21	NS-OP_11_0016
2011-07-21	NS-OP_11_0018
2011-07-21	NS-OP_11_0020
2011-07-28	NS-OP_11_0024
2011-07-28	NS-OP_11_0025
2011-07-28	NS-OP_11_0026
2011-07-28	NS-OP_11_0027
2011-07-28	NS-OP_11_0034
2011-07-28	NS-OP_11_0035
2011-07-28	NS-OP_11_0036
2011-07-28	NS-OP_11_0038
2011-07-28	NS-OP_11_0039
2011-07-28	NS-OP_11_0041
2011-07-28	NS-OP_11_0042
2011-07-28	NS-OP_11_0043
2011-07-28	NS-OP_11_0045
2011-07-28	NS-OP_11_0047
2011-07-28	NS-OP_11_0048
2011-07-28	NS-OP_11_0050
2011-07-28	NS-OP_11_0051
2011-07-28	NS-OP_11_0057
2011-07-28	NS-OP_11_0058
2011-07-28	NS-OP_11_0060
2011-07-28	NS-OP_11_0063
2011-07-28	NS-OP_11_0064
2011-07-28	NS-OP_11_0065
2011-07-28	NS-OP_11_0066
2011-07-28	NS-OP_11_0074
2011-07-28	NS-OP_11_0075
2011-07-28	NS-OP_11_0076
2011-07-28	NS-OP_11_0077
2011-07-28	NS-OP_11_0078
2011-07-28	NS-OP_11_0081
2011-07-28	NS-OP_11_0082
2011-07-28	NS-OP_11_0087
2011-07-28	NS-OP_11_0088
2011-07-28	NS-OP_11_0090
2011-07-28	NS-OP_11_0093
2011-07-28	NS-OP_11_0096
2011-07-28	NS-OP_11_0097
2011-07-28	NS-OP_11_0098
2011-07-28	NS-OP_11_0099
2011-07-28	NS-OP_11_0100
2011-07-28	NS-OP_11_0106
2011-07-28	NS-OP_11_0107
2011-07-28	NS-OP_11_0108
2011-07-28	NS-OP_11_0112
2011-07-28	NS-OP_11_0114
2011-07-28	NS-OP_11_0115
2011-08-10	NS-OP_11_0117
2011-08-10	NS-OP_11_0119
2011-08-10	NS-OP_11_0121
2011-08-10	NS-OP_11_0124
2011-08-10	NS-OP_11_0125
2011-08-10	NS-OP_11_0126
2011-08-10	NS-OP_11_0128
2011-08-10	NS-OP_11_0129
2011-08-10	NS-OP_11_0131
2011-08-10	NS-OP_11_0132
2011-08-10	NS-OP_11_0133
2011-08-10	NS-OP_11_0134
2011-08-10	NS-OP_11_0138
2011-08-10	NS-OP_11_0139
2011-08-10	NS-OP_11_0140
2011-08-10	NS-OP_11_0142
2011-08-10	NS-OP_11_0143
2011-08-10	NS-OP_11_0149
2011-08-10	NS-OP_11_0150
2011-07-21	NS-OP_11_0001
2011-07-21	NS-OP_11_0002
2011-07-21	NS-OP_11_0003
2011-07-21	NS-OP_11_0005
2011-07-21	NS-OP_11_0006
2011-07-21	NS-OP_11_0007
2011-07-21	NS-OP_11_0009
2011-07-21	NS-OP_11_0010
2011-07-21	NS-OP_11_0011
2011-07-21	NS-OP_11_0012
2011-07-21	NS-OP_11_0013
2011-07-21	NS-OP_11_0017
2011-07-21	NS-OP_11_0019
2011-07-21	NS-OP_11_0021
2011-07-21	NS-OP_11_0022
2011-07-21	NS-OP_11_0023
2011-07-28	NS-OP_11_0028
2011-07-28	NS-OP_11_0029
2011-07-28	NS-OP_11_0030
2011-07-28	NS-OP_11_0031
2011-07-28	NS-OP_11_0032
2011-07-28	NS-OP_11_0033
2011-07-28	NS-OP_11_0037
2011-07-28	NS-OP_11_0040
2011-07-28	NS-OP_11_0044
2011-07-28	NS-OP_11_0046
2011-07-28	NS-OP_11_0049
2011-07-28	NS-OP_11_0052
2011-07-28	NS-OP_11_0053
2011-07-28	NS-OP_11_0054
2011-07-28	NS-OP_11_0055
2011-07-28	NS-OP_11_0056
2011-07-28	NS-OP_11_0059
2011-07-28	NS-OP_11_0061
2011-07-28	NS-OP_11_0062
2011-07-28	NS-OP_11_0068
2011-07-28	NS-OP_11_0069
2011-07-28	NS-OP_11_0071
2011-07-28	NS-OP_11_0072
2011-07-28	NS-OP_11_0073
2011-07-28	NS-OP_11_0079
2011-07-28	NS-OP_11_0080
2011-07-28	NS-OP_11_0083
2011-07-28	NS-OP_11_0084
2011-07-28	NS-OP_11_0085
2011-07-28	NS-OP_11_0086
2011-07-28	NS-OP_11_0089
2011-07-28	NS-OP_11_0091
2011-07-28	NS-OP_11_0092
2011-07-28	NS-OP_11_0094
NA	NS-OP_11_0095
2011-07-28	NS-OP_11_0101
2011-07-28	NS-OP_11_0102
2011-07-28	NS-OP_11_0103
2011-07-28	NS-OP_11_0104
2011-07-28	NS-OP_11_0105
2011-07-28	NS-OP_11_0109
2011-07-28	NS-OP_11_0110
2011-07-28	NS-OP_11_0111
2011-07-28	NS-OP_11_0113
2011-08-10	NS-OP_11_0116
2011-08-10	NS-OP_11_0118
2011-08-10	NS-OP_11_0120
2011-08-10	NS-OP_11_0122
2011-08-10	NS-OP_11_0123
2011-08-10	NS-OP_11_0127
2011-08-10	NS-OP_11_0130
2011-08-10	NS-OP_11_0135
2011-08-10	NS-OP_11_0136
2011-08-10	NS-OP_11_0137
2011-08-10	NS-OP_11_0141
2011-08-10	NS-OP_11_0144
2011-08-10	NS-OP_11_0145
2011-08-10	NS-OP_11_0146
2011-08-10	NS-OP_11_0147
2011-08-10	NS-OP_11_0148
2011-08-10	NS-OP_11_0151
2011-08-03	NSant_11_SS_0113
2011-08-03	NSant_11_SS_0114
2011-08-03	NSant_11_SS_0115
2011-08-18	NSant_11_SS_0120
2011-08-18	NSant_11_SS_0122
2011-08-30	NSant_11_SS_0123
2011-08-30	NSant_11_SS_0148
2011-08-23	NSant_11_SS_0153
2011-08-09	NSant_11_SS_0174
2011-08-23	NSant_11_SS_0178
2011-08-23	NSant_11_SS_0182
2011-09-20	NSant_11_SS_0196
2011-10-03	NSant_11_SS_0261
2011-10-03	NSant_11_SS_0263
2011-10-03	NSant_11_SS_0267
2011-10-03	NSant_11_SS_0272
2011-10-03	NSant_11_SS_0275
2011-10-03	NSant_11_SS_0278
2011-10-03	NSant_11_SS_0281
2011-10-03	NSant_11_SS_0286
2011-10-03	NSant_11_SS_0289
2011-10-03	NSant_11_SS_0290
2011-09-13	NSant_11_SS_0606
2011-09-13	NSant_11_SS_0608
2011-09-07	NSant_11_SS_0610
2011-09-20	NSant_11_SS_0617
2011-09-07	NSant_11_SS_0635
2011-09-07	NSant_11_SS_0641
2011-09-20	NSant_11_SS_0644
2011-09-20	NSant_11_SS_0649
2011-10-03	NSant_11_SS_0651
NA	NSant_11_SS_0653
2011-09-27	NSant_11_SS_0660
2011-09-27	NSant_11_SS_0666
2011-10-03	NSant_11_SS_0694
2011-10-03	NSant_11_SS_0710
2011-10-03	NSant_11_SS_0719
2011-10-03	NSant_11_SS_0729
2011-09-27	NSant_11_SS_0739
2011-09-27	NSant_11_SS_0744
2011-10-03	NSant_11_SS_0756
2011-10-03	NSant_11_SS_0773
2011-09-13	NSant_11_SS_0126
2011-08-18	NSant_11_SS_0127
2011-09-13	NSant_11_SS_0128
2011-08-23	NSant_11_SS_0133
2011-08-23	NSant_11_SS_0137
2011-08-23	NSant_11_SS_0138
2011-08-03	NSant_11_SS_0142
2011-09-13	NSant_11_SS_0144
2011-09-13	NSant_11_SS_0145
2011-09-13	NSant_11_SS_0146
2011-09-13	NSant_11_SS_0147
2011-08-30	NSant_11_SS_0149
2011-09-13	NSant_11_SS_0150
2011-08-09	NSant_11_SS_0158
2011-08-18	NSant_11_SS_0160
2011-09-20	NSant_11_SS_0162
2011-08-23	NSant_11_SS_0166
2011-08-30	NSant_11_SS_0167
2011-08-30	NSant_11_SS_0168
2011-09-20	NSant_11_SS_0169
2011-09-20	NSant_11_SS_0170
2011-08-09	NSant_11_SS_0176
2011-08-30	NSant_11_SS_0183
2011-08-18	NSant_11_SS_0191
2011-08-18	NSant_11_SS_0192
2011-09-20	NSant_11_SS_0195
2011-09-20	NSant_11_SS_0197
2011-10-03	NSant_11_SS_0270
2011-10-03	NSant_11_SS_0276
2011-10-03	NSant_11_SS_0283
2011-10-03	NSant_11_SS_0295
2011-09-20	NSant_11_SS_0601
2011-09-20	NSant_11_SS_0603
2011-09-20	NSant_11_SS_0613
2011-09-30	NSant_11_SS_0620
2011-09-07	NSant_11_SS_0621
2011-09-07	NSant_11_SS_0624
2011-09-07	NSant_11_SS_0626
2011-09-20	NSant_11_SS_0631
2011-09-07	NSant_11_SS_0633
2011-09-07	NSant_11_SS_0634
2011-09-27	NSant_11_SS_0647
2011-09-27	NSant_11_SS_0668
2011-10-03	NSant_11_SS_0677
2011-09-27	NSant_11_SS_0680
2011-09-27	NSant_11_SS_0682
2011-09-27	NSant_11_SS_0685
2011-10-03	NSant_11_SS_0689
2011-09-27	NSant_11_SS_0704
2011-09-27	NSant_11_SS_0711
2011-09-27	NSant_11_SS_0712
2011-09-27	NSant_11_SS_0714
2011-10-03	NSant_11_SS_0720
2011-09-27	NSant_11_SS_0721
2011-09-27	NSant_11_SS_0741
2011-09-27	NSant_11_SS_0746
2011-09-27	NSant_11_SS_0752
2011-10-03	NSant_11_SS_0761
2011-09-13	NSant_11_SS_0766
2011-10-03	NSant_11_SS_0769
2011-09-13	NSant_11_SS_0772
2011-09-13	NSant_11_SS_0774
2011-08-18	NSant_11_SS_0121
2011-08-23	NSant_11_SS_0139
