date	geno_sex	origin	location	length	comments	year	type	sample_id	above_below
2011-07-21	F	HOR	mongold	92	NA	2011	outplant	NS-OP_11_0004	above
2011-07-21	F	HOR	mongold	89	NA	2011	outplant	NS-OP_11_0008	above
2011-07-21	F	HOR	mongold	88	NA	2011	outplant	NS-OP_11_0014	above
2011-07-21	F	HOR	mongold	78	NA	2011	outplant	NS-OP_11_0015	above
2011-07-21	F	HOR	mongold	74	NA	2011	outplant	NS-OP_11_0016	above
2011-07-21	F	HOR	mongold	68	NA	2011	outplant	NS-OP_11_0018	above
2011-07-21	F	HOR	mongold	76	NA	2011	outplant	NS-OP_11_0020	above
2011-07-28	F	HOR	mongold	91	NA	2011	outplant	NS-OP_11_0024	above
2011-07-28	F	HOR	mongold	91	NA	2011	outplant	NS-OP_11_0025	above
2011-07-28	F	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0026	above
2011-07-28	F	HOR	mongold	73	NA	2011	outplant	NS-OP_11_0027	above
2011-07-28	F	HOR	mongold	67	NA	2011	outplant	NS-OP_11_0034	above
2011-07-28	F	HOR	mongold	80	fungus	2011	outplant	NS-OP_11_0035	above
2011-07-28	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0036	above
2011-07-28	F	HOR	mongold	82	NA	2011	outplant	NS-OP_11_0038	above
2011-07-28	F	HOR	mongold	73	fungus	2011	outplant	NS-OP_11_0039	above
2011-07-28	F	HOR	mongold	86	NA	2011	outplant	NS-OP_11_0041	above
2011-07-28	F	HOR	mongold	88	scale loss	2011	outplant	NS-OP_11_0042	above
2011-07-28	F	HOR	mongold	83	NA	2011	outplant	NS-OP_11_0043	above
2011-07-28	F	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0045	above
2011-07-28	F	HOR	mongold	82	NA	2011	outplant	NS-OP_11_0047	above
2011-07-28	F	HOR	mongold	82	wound left tail	2011	outplant	NS-OP_11_0048	above
2011-07-28	F	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0050	above
2011-07-28	F	HOR	mongold	71	NA	2011	outplant	NS-OP_11_0051	above
2011-07-28	F	HOR	mongold	79	NA	2011	outplant	NS-OP_11_0057	above
2011-07-28	F	HOR	mongold	83	head wound	2011	outplant	NS-OP_11_0058	above
2011-07-28	F	HOR	mongold	77	de-scaling	2011	outplant	NS-OP_11_0060	above
2011-07-28	F	HOR	mongold	92	NA	2011	outplant	NS-OP_11_0063	above
2011-07-28	F	HOR	mongold	81	NA	2011	outplant	NS-OP_11_0064	above
2011-07-28	F	HOR	mongold	89	NA	2011	outplant	NS-OP_11_0065	above
2011-07-28	F	HOR	mongold	86	NA	2011	outplant	NS-OP_11_0066	above
2011-07-28	F	HOR	mongold	90	NA	2011	outplant	NS-OP_11_0074	above
2011-07-28	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0075	above
2011-07-28	F	HOR	mongold	78	de-scaled	2011	outplant	NS-OP_11_0076	above
2011-07-28	F	HOR	mongold	75	de-scaled	2011	outplant	NS-OP_11_0077	above
2011-07-28	F	HOR	mongold	85	NA	2011	outplant	NS-OP_11_0078	above
2011-07-28	F	HOR	mongold	84	NA	2011	outplant	NS-OP_11_0081	above
2011-07-28	F	HOR	mongold	88	NA	2011	outplant	NS-OP_11_0082	above
2011-07-28	F	HOR	mongold	77	NA	2011	outplant	NS-OP_11_0087	above
2011-07-28	F	HOR	mongold	75	NA	2011	outplant	NS-OP_11_0088	above
2011-07-28	F	HOR	mongold	78	NA	2011	outplant	NS-OP_11_0090	above
