offspring_sample_id	mother	father
NS_OP_14_0612	NS-OP_11_0034	NS-OP_11_0137
NS_15_OP_AD_498	NS-OP_11_0034	NS-OP_11_0137
OtsAC16NSNT_1192	NS-OP_11_0034	NS-OP_11_0137
OtsAC16NSNT_1459	NS-OP_11_0034	NS-OP_11_0137
OtsAC16NSNT_1542	NS-OP_11_0034	NS-OP_11_0137
OtsAC16NSNT_1211	NS-OP_11_0038	NS-OP_11_0083
OtsAC16NSNT_1422	NS-OP_11_0038	NS-OP_11_0083
OtsAC16NSNT_1660	NS-OP_11_0048	NS-OP_11_0084
NS_15_OP_AD_281	NS-OP_11_0096	NS-OP_11_0010
OtsAC16NSNT_1514	NS-OP_11_0096	NS-OP_11_0010
OtsAC16NSNT_1227	NS-OP_11_0096	NS-OP_11_0010
OtsAC16NSNT_1234	NS-OP_11_0096	NS-OP_11_0010
OtsAC16NSNT_1410	NS-OP_11_0096	NS-OP_11_0010
NS_15_OP_BD_293	NS-OP_11_0100	NS-OP_11_0023
NS_15_OP_BD_314	NS-OP_11_0100	NS-OP_11_0023
OtsAC16NSNT_1135	NS-OP_11_0100	NS-OP_11_0023
OtsAC16NSNT_1405	NS-OP_11_0100	NS-OP_11_0023
OtsAC16NSNT_1630	NS-OP_11_0100	NS-OP_11_0023
OtsAC16NSNT_1196	NS-OP_11_0106	NS-OP_11_0055
OtsAC16NSNT_1264	NS-OP_11_0106	NS-OP_11_0055
NS_15_OP_AD_311	NS-OP_11_0106	NS-OP_11_0101
NS_15_OP_BD_145	NS-OP_11_0106	NS-OP_11_0101
OtsAC16NSNT_1496	NS-OP_11_0108	NS-OP_11_0037
NS_OP_14_0526	NS-OP_11_0108	NS-OP_11_0092
NS_15_OP_AD_379	NS-OP_11_0108	NS-OP_11_0092
NS_15_OP_BD_027	NS-OP_11_0108	NS-OP_11_0092
NS_15_OP_BD_150	NS-OP_11_0108	NS-OP_11_0092
OtsAC16NSNT_1380	NS-OP_11_0108	NS-OP_11_0092
OtsAC16NSNT_1182	NS-OP_11_0114	NS-OP_11_0003
OtsAC16NSNT_1604	NS-OP_11_0114	NS-OP_11_0003
NS_15_OP_AD_270	NS-OP_11_0114	NS-OP_11_0069
NS_15_OP_BD_092	NS-OP_11_0114	NS-OP_11_0069
NS_15_OP_AD_158	NS-OP_11_0114	NS-OP_11_0146
NS_15_OP_AD_283	NS-OP_11_0114	NS-OP_11_0146
OtsAC16NSNT_1490	NS-OP_11_0114	NS-OP_11_0146
OtsAC16NSNT_1574	NS-OP_11_0114	NS-OP_11_0146
NS_15_OP_AD_433	NS-OP_11_0124	NS-OP_11_0010
OtsAC16NSNT_1009	NS-OP_11_0124	NS-OP_11_0010
OtsAC16NSNT_1203	NS-OP_11_0124	NS-OP_11_0010
OtsAC16NSNT_1497	NS-OP_11_0124	NS-OP_11_0010
OtsAC16NSNT_1418	NS-OP_11_0124	NS-OP_11_0010
OtsAC16NSNT_1696	NS-OP_11_0124	NS-OP_11_0010
NS_15_OP_AD_580	NS-OP_11_0131	NS-OP_11_0010
NS_15_OP_AD_384	NS-OP_11_0131	NS-OP_11_0010
OtsAC16NSNT_1428	NS-OP_11_0131	NS-OP_11_0010
OtsAC16NSNT_1066	NS-OP_11_0131	NS-OP_11_0010
NS_15_OP_AD_257	NS-OP_11_0131	NS-OP_11_0073
OtsAC16NSNT_1018	NS-OP_11_0132	NS-OP_11_0073
NS_15_OP_AD_106	NS-OP_11_0132	NS-OP_11_0086
NS_15_OP_AD_411	NS-OP_11_0132	NS-OP_11_0122
NS_15_OP_BD_318	NS-OP_11_0133	NS-OP_11_0052
OtsAC16NSNT_1424	NS-OP_11_0133	NS-OP_11_0052
OtsAC16NSNT_1702	NS-OP_11_0134	NS-OP_11_0083
NS_15_OP_AD_260	NS-OP_11_0134	NS-OP_11_0113
OtsAC16NSNT_1673	NS-OP_11_0134	NS-OP_11_0113
OtsAC17NSNT_2704	NS-OP_12_0003	NS-OP_12_0019
OtsAC17NSNT_2677	NS-OP_12_0003	NS-OP_12_0019
OtsAC16NSNT_1420	NS-OP_12_0005	NS-OP_12_0148
OtsAC16NSNT_1408	NS-OP_12_0009	NS-OP_12_0126
OtsAC17NSNT_2773	NS-OP_12_0009	NS-OP_12_0134
OtsAC16NSNT_1152	NS-OP_12_0009	NS-OP_12_0135
OtsAC16NSNT_1383	NS-OP_12_0009	NS-OP_12_0135
OtsAC17NSNT_2832	NS-OP_12_0009	NS-OP_12_0202
OtsAC17NSNT_2684	NS-OP_12_0009	NS-OP_12_0214
OtsAC17NSNT_2694	NS-OP_12_0014	NS-OP_12_0023
OtsAC16NSNT_1039	NS-OP_12_0016	NS-OP_12_0126
NS_15_OP_BD_153	NS-OP_12_0018	NS-OP_12_0071
OtsAC17NSNT_2678	NS-OP_12_0018	NS-OP_12_0071
OtsAC16NSNT_1454	NS-OP_12_0018	NS-OP_12_0130
OtsAC17NSNT_2812	NS-OP_12_0018	NS-OP_12_0130
NS_15_OP_AD_264	NS-OP_12_0024	NS-OP_12_0019
OtsAC16NSNT_1414	NS-OP_12_0024	NS-OP_12_0019
OtsAC16NSNT_1445	NS-OP_12_0024	NS-OP_12_0019
OtsAC16NSNT_1523	NS-OP_12_0025	NS-OP_12_0156
OtsAC16NSNT_1678	NS-OP_12_0028	NS-OP_12_0069
OtsAC16NSNT_1624	NS-OP_12_0032	NS-OP_12_0156
OtsAC16NSNT_1493	NS-OP_12_0033	NS-OP_12_0129
OtsAC16NSNT_1507	NS-OP_12_0033	NS-OP_12_0129
OtsAC16NSNT_1555	NS-OP_12_0033	NS-OP_12_0129
OtsAC16NSNT_1659	NS-OP_12_0033	NS-OP_12_0129
OtsAC16NSNT_1667	NS-OP_12_0033	NS-OP_12_0129
OtsAC17NSNT_2794	NS-OP_12_0033	NS-OP_12_0129
OtsAC16NSNT_1484	NS-OP_12_0033	NS-OP_12_0186
OtsAC16NSNT_1569	NS-OP_12_0036	NS-OP_12_0191
OtsAC16NSNT_1215	NS-OP_12_0036	NS-OP_12_0191
OtsAC16NSNT_1524	NS-OP_12_0036	NS-OP_12_0246
OtsAC16NSNT_1537	NS-OP_12_0037	NS-OP_12_0049
OtsAC17NSNT_2797	NS-OP_12_0037	NS-OP_12_0247
OtsAC17NSNT_2883	NS-OP_12_0037	NS-OP_12_0247
OtsAC17NSNT_3035	NS-OP_12_0037	NS-OP_12_0247
OtsAC17NSNT_2705	NS-OP_12_0037	NS-OP_12_0247
OtsAC16NSNT_1544	NS-OP_12_0040	NS-OP_12_0034
OtsAC16NSNT_1501	NS-OP_12_0040	NS-OP_12_0202
OtsAC17NSNT_3121	NS-OP_12_0041	NS-OP_12_0165
OtsAC16NSNT_1469	NS-OP_12_0043	NS-OP_12_0127
OtsAC17NSNT_2754	NS-OP_12_0043	NS-OP_12_0127
OtsAC16NSNT_1466	NS-OP_12_0044	NS-OP_12_0126
OtsAC17NSNT_2701	NS-OP_12_0044	NS-OP_12_0126
OtsAC17NSNT_2905	NS-OP_12_0044	NS-OP_12_0126
OtsAC17NSNT_2931	NS-OP_12_0044	NS-OP_12_0126
OtsAC16NSNT_1597	NS-OP_12_0044	NS-OP_12_0135
OtsAC16NSNT_1179	NS-OP_12_0044	NS-OP_12_0135
OtsAC16NSNT_1460	NS-OP_12_0044	NS-OP_12_0135
OtsAC17NSNT_2889	NS-OP_12_0044	NS-OP_12_0135
OtsAC17NSNT_2825	NS-OP_12_0044	NS-OP_12_0150
OtsAC17NSNT_2965	NS-OP_12_0067	NS-OP_12_0065
OtsAC16NSNT_1220	NS-OP_12_0070	NS-OP_12_0126
OtsAC17NSNT_2747	NS-OP_12_0070	NS-OP_12_0126
OtsAC17NSNT_2909	NS-OP_12_0070	NS-OP_12_0126
OtsAC17NSNT_2972	NS-OP_12_0070	NS-OP_12_0126
OtsAC17NSNT_2753	NS-OP_12_0073	NS-OP_12_0148
OtsAC17NSNT_2796	NS-OP_12_0073	NS-OP_12_0148
OtsAC17NSNT_2860	NS-OP_12_0073	NS-OP_12_0148
OtsAC17NSNT_2847	NS-OP_12_0074	NS-OP_12_0069
OtsAC16NSNT_1449	NS-OP_12_0092	NS-OP_12_0065
OtsAC16NSNT_1528	NS-OP_12_0092	NS-OP_12_0065
OtsAC17NSNT_2726	NS-OP_12_0095	NS-OP_12_0126
OtsAC16NSNT_1513	NS-OP_12_0096	NS-OP_12_0019
OtsAC17NSNT_2902	NS-OP_12_0096	NS-OP_12_0019
