mother	mother_year	mother_type	mother_date	mother_above_below	father	father_year	father_type	father_date	father_above_below	offspring_sample_id	offspring_year	offspring_type	offspring_date	assn_type	parent_type	geno_sex	offspring_sex
NS-OP_11_0018	2011	outplant	2011-07-21	above	none	NA	NA	NA	NA	NS_OP_14_0146	2014	reintro	2014-06-16	female_only	outplant	F	F
NS-OP_11_0025	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_15_OP_BD_147	2015	reintro	2015-06-17	female_only	outplant	F	F
NS-OP_11_0034	2011	outplant	2011-07-28	above	NS-OP_11_0137	2011	outplant	2011-08-10	above	NS_OP_14_0612	2014	reintro	2014-08-04	pair	outplant	M	M
NS-OP_11_0034	2011	outplant	2011-07-28	above	NS-OP_11_0137	2011	outplant	2011-08-10	above	NS_15_OP_AD_498	2015	reintro_above	2015-08-31	pair	outplant	M	M
NS-OP_11_0034	2011	outplant	2011-07-28	above	NS-OP_11_0137	2011	outplant	2011-08-10	above	OtsAC16NSNT_1192	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0034	2011	outplant	2011-07-28	above	NS-OP_11_0137	2011	outplant	2011-08-10	above	OtsAC16NSNT_1459	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0034	2011	outplant	2011-07-28	above	NS-OP_11_0137	2011	outplant	2011-08-10	above	OtsAC16NSNT_1542	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0035	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0287	2014	reintro	2014-07-06	female_only	outplant	F	F
NS-OP_11_0035	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0562	2014	reintro	2014-07-28	female_only	outplant	F	F
NS-OP_11_0035	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0035	2014	reintro	2014-06-09	female_only	outplant	M	M
NS-OP_11_0036	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0516	2014	reintro	2014-07-23	female_only	outplant	M	M
NS-OP_11_0038	2011	outplant	2011-07-28	above	NS-OP_11_0083	2011	outplant	2011-07-28	above	OtsAC16NSNT_1211	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0038	2011	outplant	2011-07-28	above	NS-OP_11_0083	2011	outplant	2011-07-28	above	OtsAC16NSNT_1422	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0039	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0765	2014	reintro	2014-09-22	female_only	outplant	F	F
NS-OP_11_0039	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0646	2014	reintro	2014-08-07	female_only	outplant	M	M
NS-OP_11_0039	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	OtsAC16NSNT_1136	2016	reintro	NA	female_only	outplant	F	F
NS-OP_11_0048	2011	outplant	2011-07-28	above	NS-OP_11_0084	2011	outplant	2011-07-28	above	OtsAC16NSNT_1660	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0060	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_15_OP_AD_108	2015	reintro_above	2015-06-12	female_only	outplant	M	M
NS-OP_11_0077	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0758	2014	reintro	2014-09-17	female_only	outplant	M	M
NS-OP_11_0096	2011	outplant	2011-07-28	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	NS_15_OP_AD_281	2015	reintro_above	2015-07-20	pair	outplant	M	M
NS-OP_11_0096	2011	outplant	2011-07-28	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1514	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0096	2011	outplant	2011-07-28	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1227	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0096	2011	outplant	2011-07-28	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1234	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0096	2011	outplant	2011-07-28	above	NS-OP_11_0010	2011	outplant	2011-07-21	above	OtsAC16NSNT_1410	2016	reintro	NA	pair	outplant	M	M
NS-OP_11_0099	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	NS_OP_14_0573	2014	reintro	2014-07-28	female_only	outplant	M	M
NS-OP_11_0100	2011	outplant	2011-07-28	above	NS-OP_11_0023	2011	outplant	2011-07-21	above	NS_15_OP_BD_293	2015	reintro	2015-07-13	pair	outplant	F	F
NS-OP_11_0100	2011	outplant	2011-07-28	above	NS-OP_11_0023	2011	outplant	2011-07-21	above	NS_15_OP_BD_314	2015	reintro	2015-07-22	pair	outplant	M	M
NS-OP_11_0100	2011	outplant	2011-07-28	above	NS-OP_11_0023	2011	outplant	2011-07-21	above	OtsAC16NSNT_1135	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0100	2011	outplant	2011-07-28	above	NS-OP_11_0023	2011	outplant	2011-07-21	above	OtsAC16NSNT_1405	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0100	2011	outplant	2011-07-28	above	NS-OP_11_0023	2011	outplant	2011-07-21	above	OtsAC16NSNT_1630	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0100	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	OtsAC16NSNT_1519	2016	reintro	NA	female_only	outplant	M	M
NS-OP_11_0100	2011	outplant	2011-07-28	above	none	NA	NA	NA	NA	OtsAC16NSNT_1521	2016	reintro	NA	female_only	outplant	M	M
NS-OP_11_0106	2011	outplant	2011-07-28	above	NS-OP_11_0055	2011	outplant	2011-07-28	above	OtsAC16NSNT_1196	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0106	2011	outplant	2011-07-28	above	NS-OP_11_0055	2011	outplant	2011-07-28	above	OtsAC16NSNT_1264	2016	reintro	NA	pair	outplant	F	F
NS-OP_11_0106	2011	outplant	2011-07-28	above	NS-OP_11_0101	2011	outplant	2011-07-28	above	NS_15_OP_AD_311	2015	reintro_above	2015-07-30	pair	outplant	M	M
NS-OP_11_0106	2011	outplant	2011-07-28	above	NS-OP_11_0101	2011	outplant	2011-07-28	above	NS_15_OP_BD_145	2015	reintro	2015-06-17	pair	outplant	M	M
