fstat_2011
pop	X4	X201	X211	X212	X215	X249	X311	X408	X409	X474	X515
1	152154	194230	250270	164208	250266	221245	288296	205229	181231	165189	201201
1	134138	230182	250270	138152	278286	217261	296332	201233	137235	177177	201237
1	134138	222234	218266	152212	242282	213249	236312	205225	161191	177193	201199
1	154138	222170	234238	160160	240246	261181	280348	213275	185207	177197	205233
1	134160	222190	242242	160134	266254	221237	188328	213213	191177	165177	237205
1	134138	198202	242226	142200	242282	229257	NA	245263	115135	177193	201193
1	154138	198226	242242	152172	250230	237177	308352	205283	165219	165177	201237
1	138160	230186	242242	172168	266234	237229	280328	275221	221241	165193	201199
1	154154	230186	270242	164152	250286	177173	348316	205193	177169	177177	201227
1	134162	230230	258258	152142	234262	237297	324336	225193	115115	177177	201201
1	154160	190186	242242	212134	266240	237225	320344	283273	235189	165165	201227
1	134158	198202	218254	152134	250242	205233	184268	205237	199253	193217	201183
1	154134	230226	258262	142176	244270	237265	188324	229193	137221	165193	237227
1	138138	182234	270290	142168	270248	249229	308244	237237	219197	165165	201193
1	138164	190206	270266	164172	244222	245269	336244	205275	165157	189177	201207
1	154138	230230	270234	152184	250234	261297	324336	201263	191233	177193	201237
1	138138	190198	278282	164142	254244	265281	348336	233275	161233	177193	201237
1	134162	190198	242278	134142	266288	249237	288364	205193	161191	165177	199227
1	154154	230234	270234	152152	270274	177241	308406	205237	235169	177193	237203
1	154162	182190	234274	172168	254234	229233	312406	233275	235135	165165	203219
1	154162	170190	234242	212134	266240	237225	344372	229193	161161	165193	201227
1	138162	198202	266282	160142	230222	257257	280324	213193	235237	177197	237227
1	164156	218218	274286	138142	262270	177233	348320	205273	137133	193197	199227
1	154138	170190	274286	152142	246256	245233	312188	201201	165197	177177	201207
1	154166	234202	262290	134146	282258	229233	336344	225193	115253	189189	233233
1	154138	230230	242262	152152	250240	261209	308414	205225	115165	177177	201237
1	154154	206218	286310	146156	234248	177289	332184	205213	181253	177177	201233
1	138160	186214	234234	184146	250254	297233	312336	205263	181191	165189	201233
1	154154	230186	270270	152142	248274	245261	308244	205275	219169	165177	201237
